n_estimators,RMSE
1,-0.8664228812763259
6,-0.6687216123730847
11,-0.6613872594058963
16,-0.6494611316818653
21,-0.6467021354968103
26,-0.6466211319586865
31,-0.6420125997656598
36,-0.6380076587787789
41,-0.6341972417201117
46,-0.6336347519209425
51,-0.6383017576866052
56,-0.6350000610233699
61,-0.6369923861484437
66,-0.6338648491870216
71,-0.6353673132189843
76,-0.6358977985734494
81,-0.6379307756082662
86,-0.6351866324649467
91,-0.6372966768694731
96,-0.6318286533772387
101,-0.6330042350320901
106,-0.6329764043794484
111,-0.6349359289169112
116,-0.631907805938284
121,-0.6321802379486086
126,-0.6324768720528487
131,-0.6351234684256739
136,-0.6352975691840035
141,-0.630483877278953
146,-0.6318473896164732
151,-0.6353087019168547
156,-0.6335559939938834
161,-0.6329524874261429
166,-0.6316341757651479
171,-0.6339924352628079
176,-0.6332217043858173
181,-0.6349170274178142
186,-0.6320349904631455
191,-0.6321961674761283
196,-0.6325508079637029
201,-0.6309975666127497
206,-0.6330758014799873
211,-0.6321879503356256
216,-0.6323413311552467
221,-0.6330096041937303
226,-0.6320879060968516
231,-0.6322498398131056
236,-0.6324484973443905
241,-0.6321128100609166
246,-0.6308896947726205
251,-0.6329949256936527
256,-0.6300641006514343
261,-0.6318329674271073
266,-0.633136915526499
271,-0.6312573865803726
276,-0.6313386818123272
281,-0.6310761311538334
286,-0.6316601215800551
291,-0.6329214210629845
296,-0.631904081057847
301,-0.6330805846996084
306,-0.6308003383196025
311,-0.6322912135774525
316,-0.6325259707120569
321,-0.6312171245581507
326,-0.6322944983636096
331,-0.6320268021797927
336,-0.6311706853397469
341,-0.6307168716519089
346,-0.6315762142294963
351,-0.6312626603313964
356,-0.6307434521500965
361,-0.6317302630492694
366,-0.6314386760021513
371,-0.6327362508485878
376,-0.632158854966552
381,-0.6325005614898449
386,-0.6312154250794764
391,-0.6312566247738982
396,-0.6311655150242287
401,-0.6326122619451608
406,-0.6315548174597573
411,-0.6309816092932028
416,-0.6314811187669676
421,-0.6315736536420385
426,-0.6334622858662864
431,-0.630877381596352
436,-0.632099714609618
441,-0.6312208740279183
446,-0.6316736721121725
451,-0.6324023113874021
456,-0.6307974996125376
461,-0.6310435103088364
466,-0.6310022892142434
471,-0.6319340516038456
476,-0.6317828019672477
481,-0.6312884002706776
486,-0.6317608356069608
491,-0.6324599441070794
496,-0.6302349005620683
